Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
0,4,7.15537919999997,7.09852079999996,0.05685840000001008,47,0.0,0.0,0,0,0,4
0,5,7.606969100000015,7.551137100000005,0.05583200000000943,47,0.0,0.0,0,0,0,4
0,6,10.222965600000009,10.160148800000002,0.06281680000000733,52,0.0,0.0,0,0,0,4
0,7,6.976674300000013,6.921292700000038,0.055381599999975606,44,0.0,0.0,0,0,0,4
0,8,3.7957426000000396,3.743166400000007,0.05257620000003271,35,0.0,0.0,0,0,0,4
0,9,3.5503898000000618,3.494907600000033,0.05548220000002857,34,0.0,0.0,0,2,0,4
1,2,4.068556699999988,4.0179919999999925,0.050564699999995355,39,0.0,0.0,0,2,0,4
1,3,6.989328399999977,6.935475599999961,0.05385280000001558,47,0.0,0.0,0,2,0,4
1,4,4.794171700000049,4.740105700000015,0.054066000000034364,42,0.0,0.0,0,2,0,4
1,5,4.630921600000022,4.575457099999994,0.05546450000002778,42,0.0,0.0,0,2,0,4
1,6,6.989902699999959,6.937897799999973,0.05200489999998581,47,0.0,0.0,0,2,0,4
1,7,4.064199999999971,4.004477699999995,0.0597222999999758,39,0.0,0.0,0,2,0,4
1,8,1.0987235999999712,1.0481704000000036,0.050553199999967546,30,0.0,0.0,0,2,0,4
1,9,1.1233675999999946,1.0765918999999826,0.046775700000011966,29,0.0,0.0,0,1,0,4
2,3,10.094900499999994,10.03376209999999,0.06113840000000437,52,0.0,0.0,0,0,0,4
2,4,7.473740100000043,7.4168258000000264,0.05691430000001674,47,0.0,0.0,0,0,0,4
2,5,7.495690999999965,7.44019069999996,0.05550030000000561,47,0.0,0.0,0,0,0,4
2,6,10.069135200000005,10.013921200000027,0.055213999999978114,52,0.0,0.0,0,0,0,4
2,7,7.006270299999983,6.9526475999999775,0.05362270000000535,44,0.0,0.0,0,0,0,4
2,8,3.750348699999961,3.6951740999999743,0.05517459999998664,35,0.0,0.0,0,0,0,4
2,9,3.5425941999999964,3.491177499999992,0.05141670000000431,34,0.0,0.0,0,6,0,4
3,4,10.732043999999973,10.674375399999974,0.057668599999999515,55,0.0,0.0,0,0,0,4
3,5,10.7002971,10.643572199999994,0.05672490000000607,55,0.0,0.0,0,0,0,4
3,6,13.441991099999939,13.386364199999946,0.05562689999999293,60,0.0,0.0,0,0,0,4
3,7,10.08082520000005,10.018037200000094,0.06278799999995499,52,0.0,0.0,0,0,0,4
3,8,6.750565100000017,6.696799199999987,0.05376590000003034,43,0.0,0.0,0,0,0,4
3,9,6.246488999999997,6.188220399999977,0.05826860000001943,42,0.0,0.0,0,6,0,4
4,5,8.259490300000039,8.2039039,0.05558640000003834,50,0.0,0.0,0,0,0,4
4,6,10.842218000000003,10.786761400000046,0.05545659999995678,55,0.0,0.0,0,0,0,4
4,7,7.636737000000039,7.5820287000000235,0.0547083000000157,47,0.0,0.0,0,0,0,4
4,8,4.373265700000047,4.313239400000043,0.060026300000004085,38,0.0,0.0,0,0,0,4
4,9,4.096827200000007,4.046473600000013,0.050353599999994,37,0.0,0.0,0,2,0,4
5,6,10.751086800000053,10.693006800000035,0.05808000000001812,55,0.0,0.0,0,0,0,4
5,7,7.509642999999983,7.454929799999945,0.05471320000003743,47,0.0,0.0,0,0,0,4
5,8,4.233945199999994,4.182318699999996,0.05162649999999758,38,0.0,0.0,0,0,0,4
5,9,3.9985444000000143,3.943153499999994,0.05539090000002034,37,0.0,0.0,0,2,0,4
6,7,10.113227800000004,10.058519899999965,0.054707900000039444,52,0.0,0.0,0,0,0,4
6,8,6.537497300000041,6.483694900000046,0.05380239999999503,43,0.0,0.0,0,0,0,4
6,9,6.120986400000106,6.071344000000067,0.04964240000003883,42,0.0,0.0,0,2,0,4
7,8,3.766448299999979,3.7097307999999884,0.05671749999999065,35,0.0,0.0,0,0,0,4
7,9,3.5195668999999725,3.471208199999978,0.048358699999994315,34,0.0,0.0,0,2,0,4
8,9,0.858835699999986,0.8129535000000487,0.045882199999937257,25,0.0,0.0,0,4,0,4
0,1,0.29317550000007486,0.2627505000000383,0.03042500000003656,27,0.0,0.0,0,12,0,2
0,2,0.352794900000049,0.3279572000000144,0.0248377000000346,24,0.0,0.0,0,10,0,2
0,3,0.3833540999999059,0.36028829999997924,0.02306579999992664,25,0.0,0.0,0,12,0,2
0,4,0.5621290999999928,0.5309015999999929,0.031227499999999964,31,0.0,0.0,0,6,0,2
0,5,0.2969613999999865,0.2757487000000083,0.021212699999978213,21,0.0,0.0,0,16,0,2
0,6,0.29911379999998644,0.27526080000006914,0.0238529999999173,22,0.0,0.0,0,12,0,2
0,7,0.28203640000003816,0.25592230000006566,0.026114099999972495,25,0.0,0.0,0,4,0,2
0,8,0.35815290000005007,0.3305347000000438,0.027618200000006254,23,0.0,0.0,0,14,0,2
0,9,0.26792620000003353,0.23835080000003472,0.029575399999998808,26,0.0,0.0,0,0,0,2
1,2,0.3358508000000029,0.3152189999999564,0.020631800000046496,23,0.0,0.0,0,6,0,2
1,3,0.1540589999999611,0.13483780000001389,0.019221199999947203,24,0.0,0.0,0,0,0,2
1,4,0.7381280999999262,0.7116800999999668,0.026447999999959393,30,0.0,0.0,0,18,0,2
1,5,0.18413300000008803,0.16535400000009304,0.018778999999994994,20,0.0,0.0,0,4,0,2
