Level,Total Time,Mapping Time,Clustering Time,Summarization Time,Size,Number of Summarizations,Average Number of Offers
3,1.7826215000000047,0.1495470999999995,0.0039034999999998377,1.6291644000000005,2,1,0.0
2,1.571710000000003,0.11168260000000174,0.006781099999997764,1.4532324000000045,4,2,0.0
1,2.022940900000002,0.3024699999999996,0.03668689999999941,1.6837733999999998,8,4,0.0
3,2.323565000000002,0.03735939999999971,0.004305600000009235,2.2818937999999918,2,1,0.0
2,1.4290041000000002,0.23132220000000814,0.00828319999999394,1.1893847999999991,4,2,0.0
1,1.5172110000000032,0.3214587000000009,0.053874900000003834,1.141867099999999,8,4,0.0
3,4.502882600000007,0.04395309999999597,0.00435490000000982,4.454566900000003,2,1,0.0
2,2.6159813999999955,0.1267876000000001,0.007483400000012352,2.4816967999999946,4,2,0.0
1,2.1853670999999935,0.3625720000000001,0.027151500000002216,1.7956305000000015,8,4,0.0
3,4.225223,0.041559599999999364,0.0044698999999894795,4.1791865,2,1,0.0
2,2.2348236999999926,0.12367499999999154,0.0077086000000008426,2.1034262000000012,4,2,0.0
1,2.0908270000000044,0.3460292000000038,0.0655278999999922,1.6792589000000078,8,4,0.0
3,3.485092199999997,0.04751009999999667,0.004513399999993339,3.4330625999999995,2,1,0.0
2,4.866103899999999,0.13033969999999329,0.008369299999998248,4.727381399999999,4,2,0.0
1,2.3893448999999976,0.3459594999999922,0.06454060000000084,1.9788336000000015,8,4,0.0
