Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Object Instances,Average Number of Materials,Largest Type Object Set,Cost,Lane Optionality,n
2,4,1.3962953999999854,1.2897602999999833,0.1065351000000021,25,7.0,1.0,1,0,0,16
2,5,1.4144490999999846,1.3118987999999945,0.1025502999999901,24,7.0,1.0,1,0,0,16
2,6,1.5658119999999656,1.4600583999999799,0.10575359999998568,28,7.0,1.0,1,0,0,16
2,7,1.837117400000011,1.7260412999999915,0.11107610000001955,30,7.0,1.0,1,0,0,16
3,4,1.4186099999999726,1.3138358999999866,0.10477409999998599,25,7.0,1.0,1,0,0,16
3,5,1.298729399999985,1.1964274000000046,0.10230199999998035,24,7.0,1.0,1,0,0,16
3,6,1.604931999999991,1.498592599999995,0.10633939999999598,28,7.0,1.0,1,0,0,16
3,7,1.9000434000000155,1.7848499000000118,0.11519350000000372,30,7.0,1.0,1,0,0,16
4,5,1.266902000000016,1.1756957000000057,0.09120630000001029,19,7.0,1.0,1,0,0,16
4,6,1.60938680000001,1.516094900000013,0.09329189999999699,23,7.0,1.0,1,0,0,16
4,7,1.821735000000018,1.7251043999999922,0.09663060000002588,25,7.0,1.0,1,0,0,16
5,6,1.4690856999999937,1.3791487999999958,0.08993689999999788,22,7.0,1.0,1,0,0,16
5,7,1.6043966999999952,1.5112685,0.09312819999999533,24,7.0,1.0,1,0,0,16
6,7,2.1334554999999966,2.0334411000000046,0.10001439999999207,28,7.0,1.0,1,0,0,16
0,1,4.652072100000055,4.444865600000014,0.2072065000000407,37,7.0,1.0,1,0,0,32
0,2,4.92547090000005,4.554249300000038,0.3712216000000126,37,7.0,1.0,1,0,0,32
0,3,4.8910763999999745,4.539728299999979,0.3513480999999956,32,7.0,1.0,1,0,0,32
0,4,4.5647970000000555,4.378434200000015,0.18636280000004035,31,7.0,1.0,1,0,0,32
0,5,5.272420000000068,5.078919800000051,0.19350020000001678,35,7.0,1.0,1,0,0,32
0,6,5.656281600000057,5.460171600000024,0.19611000000003287,36,7.0,1.0,1,0,0,32
0,7,4.545763700000009,4.1708189999999945,0.37494470000001456,34,7.0,1.0,1,0,0,32
1,2,5.115186199999982,4.888302500000009,0.2268836999999735,42,7.0,1.0,1,0,0,32
1,3,4.320546799999988,4.111919699999987,0.20862710000000106,37,7.0,1.0,1,0,0,32
1,4,4.159161999999981,3.9456407999999783,0.2135212000000024,36,7.0,1.0,1,0,0,32
1,5,4.760974499999975,4.549525199999948,0.2114493000000266,40,7.0,1.0,1,0,0,32
1,6,5.145602199999985,4.759430599999973,0.3861716000000115,41,7.0,1.0,1,0,0,32
1,7,3.9915929000000006,3.594846500000017,0.3967463999999836,39,7.0,1.0,1,0,0,32
2,3,4.397845899999993,4.190578500000015,0.2072673999999779,37,7.0,1.0,1,0,0,32
2,4,4.1985765000000015,3.99470070000001,0.2038757999999916,36,7.0,1.0,1,0,0,32
2,5,4.993484299999977,4.785470400000008,0.208013899999969,40,7.0,1.0,1,0,0,32
2,6,5.19633140000002,4.980055199999981,0.21627620000003844,41,7.0,1.0,1,0,0,32
2,7,4.517734800000028,4.296427900000026,0.22130690000000186,39,7.0,1.0,1,0,0,32
3,4,4.479612400000008,4.28894600000001,0.1906663999999978,31,7.0,1.0,1,0,0,32
3,5,5.174305900000036,4.983228699999984,0.19107720000005202,35,7.0,1.0,1,0,0,32
3,6,5.902026700000022,5.511979600000018,0.39004710000000387,36,7.0,1.0,1,0,0,32
3,7,4.233444300000031,4.028160800000023,0.20528350000000728,34,7.0,1.0,1,0,0,32
4,5,5.219555999999955,4.832977900000003,0.3865780999999515,34,7.0,1.0,1,0,0,32
4,6,5.390105300000016,5.197423400000048,0.1926818999999682,35,7.0,1.0,1,0,0,32
4,7,3.9958307999999647,3.7923675999999773,0.2034631999999874,33,7.0,1.0,1,0,0,32
5,6,6.168204800000012,5.970804700000031,0.19740009999998165,39,7.0,1.0,1,0,0,32
5,7,4.973775799999942,4.573801899999978,0.3999738999999636,37,7.0,1.0,1,0,0,32
6,7,5.046094200000027,4.835048500000028,0.21104569999999967,38,7.0,1.0,1,0,0,32
0,1,0.13576630000005707,0.11939610000001721,0.01637020000003986,16,6.5,0.5,1,4,1,2
0,2,0.14286740000005693,0.12407660000002352,0.018790800000033414,20,7.0,1.0,1,0,0,2
0,3,0.165463099999954,0.14554749999996375,0.019915599999990263,18,7.0,1.0,1,2,0,2
0,4,0.1920390000000225,0.1724292000000105,0.019609800000012,19,7.0,1.0,1,4,0,2
0,5,0.19897839999998723,0.17559299999999212,0.023385399999995116,24,7.0,1.0,1,3,0,2
0,6,0.26173620000002984,0.23832470000002104,0.0234115000000088,24,7.0,1.0,1,3,0,2
0,7,0.18548570000001519,0.1674395000000004,0.018046200000014778,17,6.5,0.5,1,8,1,2
1,2,0.1568485000000237,0.1398401000000149,0.017008400000008805,18,6.5,0.5,1,4,1,2
1,3,0.1351124999999911,0.11895989999999301,0.016152599999998074,16,6.5,0.5,1,4,1,2
1,4,0.18524289999999155,0.1675710999999751,0.017671800000016447,17,6.5,0.5,1,8,1,2
1,5,0.3204962000000364,0.29848720000001094,0.02200900000002548,22,6.5,0.5,1,7,1,2
1,6,0.2782265999999822,0.2560366000000158,0.022189999999966403,22,6.5,0.5,1,7,1,2
1,7,0.09354830000006586,0.07850310000003446,0.0150452000000314,15,6.0,0.0,0,4,0,2
2,3,0.20090909999998985,0.18284049999999752,0.01806859999999233,20,7.0,1.0,1,2,0,2
2,4,0.19268739999995432,0.1727190999999948,0.019968299999959527,21,7.0,1.0,1,4,0,2
2,5,0.20199299999990217,0.17840859999995473,0.023584399999947436,26,7.0,1.0,1,3,0,2
2,6,0.2682912000000215,0.24485989999999447,0.023431300000027022,26,7.0,1.0,1,3,0,2
2,7,0.21160270000001447,0.19303350000001274,0.01856920000000173,19,6.5,0.5,1,8,1,2
3,4,0.21398510000000215,0.19440009999999575,0.019585000000006403,19,7.0,1.0,1,6,0,2
3,5,0.24274339999999484,0.2200047999999697,0.022738600000025144,24,7.0,1.0,1,5,0,2
3,6,0.32050870000000486,0.29727470000000267,0.023234000000002197,24,7.0,1.0,1,5,0,2
3,7,0.1861572000000251,0.16757999999998674,0.018577200000038374,17,6.5,0.5,1,8,1,2
4,5,0.3056427999999869,0.28039669999998296,0.025246100000003935,25,7.0,1.0,1,5,0,2
4,6,0.37727319999999054,0.3513639999999896,0.025909200000000965,25,7.0,1.0,1,5,0,2
4,7,0.17529239999998936,0.15462259999998196,0.0206698000000074,18,6.5,0.5,1,4,1,2
5,6,0.3444604999999683,0.3161380999999892,0.028322399999979098,30,7.0,1.0,1,0,0,2
5,7,0.3701543999999899,0.22597869999998466,0.14417570000000524,23,6.5,0.5,1,9,1,2
6,7,0.3313329000000067,0.3074253999999996,0.023907500000007076,23,6.5,0.5,1,9,1,2
0,1,0.3885445999999888,0.36120799999997644,0.027336600000012368,18,7.0,1.0,1,2,0,4
0,2,0.3108187000000271,0.2837801000000013,0.02703860000002578,19,7.0,1.0,1,2,0,4
0,3,0.3336186000000225,0.30420839999999316,0.029410200000029363,19,7.0,1.0,1,2,0,4
0,4,0.4354659999999626,0.39857819999997446,0.03688779999998815,24,7.0,1.0,1,2,0,4
0,5,0.44579780000003666,0.41084080000001677,0.03495700000001989,24,7.0,1.0,1,2,0,4
0,6,0.3359959000000572,0.304874400000017,0.031121500000040214,19,7.0,1.0,1,0,0,4
0,7,0.3029695999999831,0.2767815999999925,0.026187999999990552,20,7.0,1.0,1,0,0,4
1,2,0.300453799999957,0.2704160999999772,0.03003769999997985,19,7.0,1.0,1,0,0,4
1,3,0.4122400000000539,0.263607200000024,0.14863280000002987,19,7.0,1.0,1,0,0,4
1,4,0.4011784999999577,0.36288569999999254,0.038292799999965155,24,7.0,1.0,1,0,0,4
1,5,0.40805330000000595,0.3719487999999842,0.036104500000021744,24,7.0,1.0,1,0,0,4
1,6,0.337861700000019,0.307180800000026,0.030680899999993017,19,7.0,1.0,1,2,0,4
1,7,0.3096017000000302,0.2821069000000307,0.027494799999999486,20,7.0,1.0,1,2,0,4
2,3,0.36212679999999864,0.33066949999999906,0.03145729999999958,20,7.0,1.0,1,0,0,4
2,4,0.5902945000000273,0.5531091000000288,0.03718539999999848,25,7.0,1.0,1,0,0,4
2,5,0.4767909000000259,0.43933220000002393,0.037458700000001954,25,7.0,1.0,1,0,0,4
2,6,0.3871259000000009,0.3558279000000084,0.0312979999999925,20,7.0,1.0,1,2,0,4
2,7,0.3967414999999619,0.3687410999999656,0.02800039999999626,21,7.0,1.0,1,2,0,4
3,4,0.46209859999999026,0.4224361999999928,0.03966239999999743,25,7.0,1.0,1,0,0,4
3,5,0.5983427000000461,0.5582817000000091,0.040061000000036984,25,7.0,1.0,1,0,0,4
3,6,0.4644738000000075,0.4296603000000232,0.03481349999998429,20,7.0,1.0,1,2,0,4
3,7,0.3721960999999965,0.3417382999999745,0.030457800000021962,21,7.0,1.0,1,2,0,4
4,5,0.630872600000032,0.5847199000000387,0.046152699999993274,30,7.0,1.0,1,0,0,4
4,6,0.4428491999999551,0.40336679999995795,0.03948239999999714,25,7.0,1.0,1,2,0,4
4,7,0.529271499999993,0.49166999999999916,0.03760149999999385,26,7.0,1.0,1,2,0,4
5,6,0.4439307000000099,0.4033542999999895,0.040576400000020385,25,7.0,1.0,1,2,0,4
5,7,0.4156551999999465,0.3790970999999672,0.03655809999997928,26,7.0,1.0,1,2,0,4
6,7,0.37292679999995926,0.34106119999989915,0.03186560000006011,21,7.0,1.0,1,0,0,4
0,1,0.7440520000000106,0.6940400999999383,0.050011900000072274,23,7.0,1.0,1,0,0,8
0,2,0.5244397999999819,0.47316060000002835,0.05127919999995356,23,7.0,1.0,1,0,0,8
0,3,0.6796287000000802,0.6210753000000295,0.058553400000050715,28,7.0,1.0,1,0,0,8
0,4,0.8249350999999479,0.7661584999999604,0.05877659999998741,28,7.0,1.0,1,0,0,8
0,5,0.5201618999999482,0.4703021999999919,0.04985969999995632,23,7.0,1.0,1,0,0,8
0,6,0.44547719999991386,0.3976613999999472,0.04781579999996666,24,7.0,1.0,1,0,0,8
0,7,0.7393326000000116,0.6903050000000803,0.049027599999931226,22,7.0,1.0,1,0,0,8
1,2,0.7466610000000173,0.6949759999999969,0.05168500000002041,24,7.0,1.0,1,0,0,8
1,3,0.985144699999978,0.9229153999999653,0.0622293000000127,29,7.0,1.0,1,0,0,8
1,4,0.871639899999991,0.8099267000000054,0.06171319999998559,29,7.0,1.0,1,0,0,8
1,5,0.7222534000001133,0.6679829000000836,0.05427050000002964,24,7.0,1.0,1,0,0,8
1,6,0.8677718000000141,0.8174391000000014,0.050332700000012665,25,7.0,1.0,1,0,0,8
1,7,0.7012567000000445,0.6483798000000434,0.052876900000001115,23,7.0,1.0,1,0,0,8
2,3,0.899079899999947,0.8354041999999708,0.06367569999997613,29,7.0,1.0,1,0,0,8
2,4,0.7987328000000389,0.7346305999999458,0.06410220000009303,29,7.0,1.0,1,0,0,8
2,5,0.6819560999999794,0.6272043999999823,0.05475169999999707,24,7.0,1.0,1,0,0,8
2,6,0.6506114000000025,0.4744236000000228,0.1761877999999797,25,7.0,1.0,1,0,0,8
2,7,0.7122684999999365,0.6595314999999573,0.05273699999997916,23,7.0,1.0,1,0,0,8
3,4,1.0054558000000497,0.9275864999999612,0.07786930000008851,34,7.0,1.0,1,0,0,8
3,5,0.6526675000000068,0.5903938999999809,0.06227360000002591,29,7.0,1.0,1,0,0,8
3,6,0.6972736000000168,0.6378253000000313,0.059448299999985466,30,7.0,1.0,1,0,0,8
3,7,0.7320032999999739,0.668951199999924,0.0630521000000499,28,7.0,1.0,1,0,0,8
4,5,0.806575900000098,0.7432135000000244,0.06336240000007365,29,7.0,1.0,1,0,0,8
4,6,0.582169399999998,0.522159600000009,0.0600097999999889,30,7.0,1.0,1,0,0,8
4,7,0.7507372999999689,0.6876455000000306,0.0630917999999383,28,7.0,1.0,1,0,0,8
5,6,0.6585587999999234,0.6058061999999609,0.05275259999996251,25,7.0,1.0,1,0,0,8
5,7,0.7040843999999424,0.6504599999999527,0.05362439999998969,23,7.0,1.0,1,0,0,8
6,7,0.725136300000031,0.6734044000000949,0.051731899999936104,24,7.0,1.0,1,0,0,8
0,1,1.6009398999999576,1.507447099999922,0.09349280000003546,23,7.0,1.0,1,0,0,16
0,2,1.9241243000000168,1.6842181000000664,0.23990619999995033,28,7.0,1.0,1,0,0,16
0,3,1.957472800000005,1.850379299999986,0.10709350000001905,28,7.0,1.0,1,0,0,16
0,4,1.6061108000000104,1.5130642999999964,0.09304650000001402,23,7.0,1.0,1,0,0,16
0,5,1.473044200000004,1.3813863999999967,0.09165780000000723,22,7.0,1.0,1,0,0,16
0,6,1.9732625000000326,1.8776861000000054,0.0955764000000272,26,7.0,1.0,1,0,0,16
0,7,2.106794299999933,2.0090871999999536,0.09770709999997962,28,7.0,1.0,1,0,0,16
1,2,1.583784000000037,1.479163000000085,0.10462099999995189,25,7.0,1.0,1,0,0,16
1,3,1.6288405999999895,1.5215064999999868,0.10733410000000276,25,7.0,1.0,1,0,0,16
1,4,1.4675785999999107,1.3733856999999716,0.09419289999993907,20,7.0,1.0,1,0,0,16
1,5,1.25561730000004,1.026826700000015,0.22879060000002482,19,7.0,1.0,1,0,0,16
1,6,1.744847600000071,1.6502208000000564,0.09462680000001455,23,7.0,1.0,1,0,0,16
1,7,1.8225751999999602,1.7241500000000087,0.09842519999995147,25,7.0,1.0,1,0,0,16
2,3,1.8711926999999378,1.7531586000000061,0.11803409999993164,30,7.0,1.0,1,0,0,16
2,4,1.3984954000000016,1.2919620000000123,0.10653339999998934,25,7.0,1.0,1,0,0,16
2,5,1.269536099999982,1.165174900000011,0.10436119999997118,24,7.0,1.0,1,0,0,16
2,6,1.7204870000000483,1.6121043000000554,0.10838269999999284,28,7.0,1.0,1,0,0,16
2,7,1.7053031000000374,1.595579100000009,0.10972400000002835,30,7.0,1.0,1,0,0,16
3,4,1.558741599999962,1.4534355000000687,0.10530609999989338,25,7.0,1.0,1,0,0,16
3,5,1.3060290000000805,1.2027003000000605,0.10332870000002004,24,7.0,1.0,1,0,0,16
3,6,1.6021513000000596,1.4950764000000163,0.10707490000004327,28,7.0,1.0,1,0,0,16
3,7,1.8865223000000242,1.7743968999999424,0.11212540000008175,30,7.0,1.0,1,0,0,16
4,5,1.1207748999999012,1.030025999999907,0.09074889999999414,19,7.0,1.0,1,0,0,16
4,6,1.7544593999999734,1.6602600999999595,0.09419930000001386,23,7.0,1.0,1,0,0,16
4,7,1.831401700000015,1.730451599999924,0.10095010000009097,25,7.0,1.0,1,0,0,16
5,6,1.470052600000031,1.3797225000000708,0.09033009999996011,22,7.0,1.0,1,0,0,16
5,7,1.6103421000000253,1.5169343000000026,0.09340780000002269,24,7.0,1.0,1,0,0,16
6,7,2.1360848000000487,2.038252199999988,0.09783260000006067,28,7.0,1.0,1,0,0,16
0,1,4.8470638000001145,4.641515000000027,0.2055488000000878,37,7.0,1.0,1,0,0,32
0,2,4.752707999999984,4.548141399999963,0.20456660000002103,37,7.0,1.0,1,0,0,32
0,3,4.907396400000039,4.714490500000011,0.19290590000002794,32,7.0,1.0,1,0,0,32
0,4,4.376253799999972,4.190259200000014,0.18599459999995815,31,7.0,1.0,1,0,0,32
0,5,5.429793100000097,5.0666480000001,0.363145099999997,35,7.0,1.0,1,0,0,32
0,6,5.6461236999999755,5.4511076,0.19501609999997527,36,7.0,1.0,1,0,0,32
0,7,4.518780499999934,4.311057699999992,0.20772279999994225,34,7.0,1.0,1,0,0,32
1,2,5.077888700000017,4.852996800000028,0.2248918999999887,42,7.0,1.0,1,0,0,32
1,3,4.320869600000037,4.112796600000024,0.20807300000001305,37,7.0,1.0,1,0,0,32
1,4,4.120189199999913,3.9178207999999586,0.20236839999995482,36,7.0,1.0,1,0,0,32
1,5,4.730288299999984,4.522200300000009,0.20808799999997518,40,7.0,1.0,1,0,0,32
1,6,5.1340194000000565,4.747293000000013,0.3867264000000432,41,7.0,1.0,1,0,0,32
1,7,3.9964385999999195,3.7725686999999652,0.2238698999999542,39,7.0,1.0,1,0,0,32
2,3,4.39595630000008,4.185853600000087,0.2101026999999931,37,7.0,1.0,1,0,0,32
2,4,4.194148699999914,3.9911202999999205,0.20302839999999378,36,7.0,1.0,1,0,0,32
2,5,4.984979400000043,4.776320800000008,0.20865860000003522,40,7.0,1.0,1,0,0,32
2,6,5.0041409000000385,4.792422100000067,0.21171879999997145,41,7.0,1.0,1,0,0,32
2,7,4.48696289999998,4.264574499999981,0.22238839999999982,39,7.0,1.0,1,0,0,32
3,4,4.6452564000001075,4.273313900000062,0.3719425000000456,31,7.0,1.0,1,0,0,32
3,5,5.168404899999928,4.9754199999999855,0.19298489999994217,35,7.0,1.0,1,0,0,32
3,6,5.9071431000000985,5.526456600000074,0.38068650000002435,36,7.0,1.0,1,0,0,32
3,7,4.223755400000073,4.016358200000013,0.20739720000005946,34,7.0,1.0,1,0,0,32
4,5,5.151759399999946,4.774951999999985,0.3768073999999615,34,7.0,1.0,1,0,0,32
4,6,5.39456389999998,5.202395300000035,0.1921685999999454,35,7.0,1.0,1,0,0,32
4,7,4.006900200000018,3.7964699000000337,0.21043029999998453,33,7.0,1.0,1,0,0,32
5,6,6.155253000000016,5.959382900000037,0.19587009999997917,39,7.0,1.0,1,0,0,32
5,7,5.006278700000053,4.606035700000007,0.40024300000004587,37,7.0,1.0,1,0,0,32
6,7,5.047165599999971,4.8350566999999955,0.21210889999997562,38,7.0,1.0,1,0,0,32
0,1,0.13789059999999154,0.12012170000002698,0.01776889999996456,16,6.5,0.5,1,4,1,2
0,2,0.14206179999996493,0.12408649999997579,0.017975299999989147,20,7.0,1.0,1,0,0,2
0,3,0.16363569999998617,0.14611630000001696,0.01751939999996921,18,7.0,1.0,1,2,0,2
0,4,0.18996549999985746,0.17066509999995105,0.019300399999906404,19,7.0,1.0,1,4,0,2
